ϵͳSN 		�忨SN
KSE0293988	AKAY352276
KSE0293989	AKAY353039
KSE0293990	AKAY353159
KSE0293991	AKAY351549
KSE0293992	AKAY351627
KSE0293993	AKAY351737
KSE0293994	AKAY351759
KSE0293995	AKAY352214
KSE0293996	AKAY351629
KSE0293997	AKAY352264
KSE0293998	AKAY352565
KSE0293999	AKAY351558
KSE0294000	AKAY353018
KSE0294001	AKAY352707
KSE0294002	AKAY351344
KSE0294003	AKAY353161
KSE0294004	AKAY352265
KSE0294005	AKAY353164
KSE0294006	AKAY353301
KSE0294007	AKAY351548
KSE0294008	AKAY352097
KSE0294009	AKAY351542
KSE0294010	AKAY353772
KSE0294011	AKAY353770
KSE0294012	AKAY352812
KSE0294013	AKAY352964
KSE0294014	AKAY352963
KSE0294015	AKAY351846
KSE0294016	AKAY353463
KSE0294017	AKAY353462
KSE0294018	AKAY353097
KSE0294019	AKAY352914
